1	-2.76415 -2.76415 0.453096 0.195716 0.067026 0.067026 0.324406 0.067026 0.581785 0.710475 0.067026 0.324406
2	0.839165 0.324406 0.324406 -0.319044 0.324406 1.22523 0.067026 0.581785 -2.76415 -0.319044 0.067026 0.839165
3	11.5204 9.84746 5.72938 3.79903 3.01402 2.38344 -0.962493 2.64082 2.38344 -2.76415 2.12606 2.64082
4	9.3327 8.54769 4.69986 3.92772 0.195716 2.51213 2.12606 1.86868 2.25475 1.6113 2.12606 2.25475
5	12.936 9.07532 7.53104 3.79903 3.01402 2.76951 2.12606 1.86868 2.51213 2.12606 1.99737 1.6113
6	11.9065 5.98676 3.67034 2.64082 1.73999 1.86868 2.12606 1.48261 1.09654 0.967855 0.967855 1.09654
7	1.09654 2.12606 0.839165 0.839165 0.710475 1.48261 0.839165 0.324406 -0.705113 1.09654 1.09654 0.0670259
8	1.09654 1.09654 2.38344 -2.76415 0.839165 0.710475 0.839165 0.581785 -0.319044 0.967855 1.09654 0.967855
9	16.7967 -2.76415 7.76268 5.472 1.35392 2.38344 -2.76415 2.12606 1.86868 1.73999 2.12606 1.35392
10	13.3221 4.31379 6.50152 5.08593 3.79903 3.41296 3.79903 3.12984 3.92772 1.86868 1.22523 -2.76415
11	11.6491 9.3327 7.53104 4.95724 4.1851 2.76951 2.51213 2.64082 2.8982 2.76951 3.12984 2.64082
12	13.0647 9.84746 7.76268 4.44248 4.1851 3.65747 5.34331 4.05641 2.8982 3.01402 3.40009 3.12984
13	9.71877 6.74603 3.41296 2.51213 0.839165 1.86868 4.95724 -2.76415 0.839165 0.839165 0.839165 0.967855
14	1.73999 -2.76415 1.22523 0.581785 0.581785 1.22523 1.09654 -0.061664 0.324406 0.839165 1.22523 0.839165
15	0.967855 1.6113 1.09654 1.09654 -0.061664 -0.190354 0.839165 0.581785 0.581785 1.22523 0.839165 -2.76415
16	1.86868 1.6113 1.86868 0.581785 1.09654 0.839165 0.710475 0.839165 -2.76415 1.09654 0.581785 1.86868
17	-2.76415 6.50152 1.6113 4.69986 4.44248 3.92772 3.41296 -2.76415 3.54165 3.67034 2.64082 3.28427
18	13.7082 11.9065 9.84746 -2.76415 4.95724 3.67034 3.2714 2.88533 2.64082 5.85807 4.1851 2.8982
19	11.9065 5.34331 7.40235 4.95724 2.51213 4.31379 2.64082 2.25475 2.38344 1.99737 1.86868 2.38344
20	14.7377 9.20401 -2.76415 2.12606 2.38344 -2.76415 1.86868 1.86868 1.6113 1.86868 1.86868 2.25475
21	2.12606 1.35392 1.35392 1.86868 1.09654 0.067026 1.48261 1.09654 1.6113 1.73999 1.86868 1.48261
22	1.22523 0.967855 1.35392 -2.76415 0.967855 0.581785 0.967855 1.6113 1.09654 0.839165 0.453096 1.22523
23	-2.76415 10.3365 -2.76415 -2.76415 -2.76415 -2.76415 -2.76415 -2.76415 2.64082 2.76951 2.75664 2.25475
24	13.4508 10.3622 7.38948 5.08593 3.92772 3.40009 3.28427 3.2714 3.15558 -2.76415 2.76951 2.88533
25	-2.76415 -2.76415 -2.76415 -2.76415 -2.76415 -2.76415 4.1851 3.92772 3.92772 4.05641 4.05641 3.79903
26	13.3221 9.59008 7.76268 4.31379 3.92772 3.67034 3.01402 3.40009 3.12984 5.472 4.31379 3.28427
27	13.0647 8.03293 4.82855 2.64082 1.48261 1.73999 2.38344 3.28427 1.48261 1.35392 1.6113 4.1851
28	1.48261 1.73999 1.6113 1.48261 1.48261 1.35392 1.6113 1.48261 1.73999 1.35392 1.6113 1.48261
29	1.35392 1.35392 1.6113 1.73999 1.73999 1.48261 1.86868 1.6113 1.22523 1.35392 1.6113 1.6113
30	16.2819 13.0647 9.44852 6.37283 5.60069 4.95724 3.92772 3.65747 3.67034 3.01402 3.28427 3.12984
31	16.2819 10.6067 9.3327 5.98676 4.82855 2.8982 4.1851 5.08593 3.65747 3.15558 3.15558 3.02689
32	13.8368 10.6196 6.7589 4.05641 4.31379 2.8982 2.75664 2.76951 6.11545 5.21462 2.75664 2.76951
33	9.71877 8.17449 5.72938 3.67034 3.12984 3.40009 3.28427 3.41296 3.40009 3.67034 3.12984 2.64082
34	10.877 -2.76415 6.11545 2.8982 3.52878 3.12984 2.64082 2.38344 2.38344 2.12606 2.51213 2.12606
35	3.41296 2.88533 1.86868 2.51213 2.12606 1.86868 2.12606 2.64082 2.12606 1.86868 2.8982 2.12606
36	2.8982 3.15558 2.76951 2.38344 2.8982 2.8982 2.64082 2.64082 2.51213 2.64082 2.12606 2.64082
